month year,Pcs / Pk,Quantity,UnitPrice,OTIF,Embelishment Cost,TotalQuantity,TotalSales
12/1/2019,7,7350,6.03,,0.154,51450,310243.5
12/1/2019,7,5775,6.03,,0.154,40425,243762.75
12/1/2019,3,5525,5.89,,0.051,16575,97626.75
12/1/2019,3,14600,5.89,,0.051,43800,257982
12/1/2019,7,6025,6.03,,0.154,42175,254315.25
12/1/2019,7,12000,6.03,,0.154,84000,506520
12/1/2019,7,2500,6.03,,0.155,17500,105525
7/1/2019,2,2000,2.78,,,4000,11120
7/1/2019,3,2500,2.78,,,7500,20850
7/1/2019,3,2500,2.35,,,7500,17625
7/1/2019,7,2500,6,,0.165,17500,105000
7/1/2019,3,17500,5.86,,0.051,52500,307650
7/1/2019,7,7500,6,,0.154,52500,315000
7/1/2019,7,4332,6,,0.17,30324,181944
7/1/2019,7,12925,6,,0.154,90475,542850
7/1/2019,7,5000,6,,0.185,35000,210000
7/1/2019,7,10000,5.94,,0.154,70000,415800
7/1/2019,7,6805,5.94,,0.154,47635,282951.9
7/1/2019,5,50156,5.203333333,,0.124,250780,1304891.933
6/1/2019,2,5000,2.78,,,10000,27800
6/1/2019,2,8600,2.78,,,17200,47816
6/1/2019,3,10000,2.78,,,30000,83400
